Country,State,Year,Month,"Ration Cards (UOM:Number), Scaling Factor:1","Transactions Through Portability-Inter District Under Antyodaya Anna Yojana (UOM:Number), Scaling Factor:1","Transactions Through Portability-Inter District Under Priority Household (UOM:Number), Scaling Factor:1","Transactions Through Portability-Intra District Under Antyodaya Anna Yojana (UOM:Number), Scaling Factor:1","Transactions Through Portability-Intra District Under Priority Household (UOM:Number), Scaling Factor:1","Quantity Distributed Through Portability Inter Distric Under Antyodaya Anna Yojana (UOM:MT(MetricTonne)), Scaling Factor:1","Quantity Distributed Through Portability Inter District Under Priority Household (UOM:MT(MetricTonne)), Scaling Factor:1","Quantity Distributed Through Portability Intra District Under Antyodaya Anna Yojana (UOM:MT(MetricTonne)), Scaling Factor:1","Quantity Distributed Through Portability Intra District Under Priority Household (UOM:MT(MetricTonne)), Scaling Factor:1"
India,Tripura,"Calendar Year (Jan - Dec), 2022","June, 2022",595939,473,2828,3644,23415,16.11,48.86,125.87,462.32
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022","June, 2022",36167456,10055,188407,48248,1256444,351.75,3807.57,1685.99,26601.73
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022","June, 2022",1408929,0,0,0,0,0,0,0,0
India,West Bengal,"Calendar Year (Jan - Dec), 2022","June, 2022",54791341,1476,16759,52187,452728,51.02,235.49,1806.06,8823.59
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2022","May, 2022",16795,11,54,94,729,0.35,0.84,3.24,12.54
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022","May, 2022",8873808,9330,85945,157519,1601110,3010.4,13726.15,2737.99,12473.39
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022","May, 2022",180490,0,0,0,0,0,0,0,0
India,Assam,"Calendar Year (Jan - Dec), 2022","May, 2022",5888188,25,229,8522,61079,0.88,4.72,298,1313.34
India,Bihar,"Calendar Year (Jan - Dec), 2022","May, 2022",18328380,16371,133654,632627,5302287,561.47,3029.08,21825.94,118792.87
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022","May, 2022",5136721,2247,16131,18175,117868,79.14,315.51,559.42,2063.76
India,Delhi,"Calendar Year (Jan - Dec), 2022","May, 2022",1781316,2563,45215,10137,452048,58.73,895.45,352.18,9224.82
India,Goa,"Calendar Year (Jan - Dec), 2022","May, 2022",143079,0,33,16,371,0,0.48,0.56,7.17
India,Gujarat,"Calendar Year (Jan - Dec), 2022","May, 2022",7411587,1644,17241,4903,59979,56.16,392.92,165.72,1343.22
India,Haryana,"Calendar Year (Jan - Dec), 2022","May, 2022",2818267,2144,11233,84618,1025834,74.67,245.89,1472.26,11821.09
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022","May, 2022",746760,0,0,0,5,0.03,0.06,0,0.11
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2022","May, 2022",1639487,127,1959,2945,27130,4.27,35.72,102.57,511.65
India,Jharkhand,"Calendar Year (Jan - Dec), 2022","May, 2022",5946894,193,8688,4416,242487,4.49,45.68,150.12,1295.99
India,Karnataka,"Calendar Year (Jan - Dec), 2022","May, 2022",11504759,3185,113994,27169,854166,1.09,16.71,9.5,135.81
India,Kerala,"Calendar Year (Jan - Dec), 2022","May, 2022",3971990,8901,45196,109554,711790,287.92,700.74,3558.7,12478.27
India,Ladakh,"Calendar Year (Jan - Dec), 2022","May, 2022",28898,0,0,0,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022","May, 2022",4755,0,0,98,554,0,0,3.43,12.98
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022","May, 2022",11848638,9618,71964,49582,516732,321.75,1431.51,1666.69,10522.18
India,Maharashtra,"Calendar Year (Jan - Dec), 2022","May, 2022",15396336,10478,91939,46695,725717,335.41,1916.11,1566.81,15417.69
India,Manipur,"Calendar Year (Jan - Dec), 2022","May, 2022",569030,0,0,0,0,0,0,0,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2022","May, 2022",421516,0,0,0,0,0,0,0,0
India,Mizoram,"Calendar Year (Jan - Dec), 2022","May, 2022",166347,5,32,16,96,0.18,0.66,0.56,1.94
India,Nagaland,"Calendar Year (Jan - Dec), 2022","May, 2022",306634,1,1,24,793,0.04,0.04,0.84,15.25
India,Odisha,"Calendar Year (Jan - Dec), 2022","May, 2022",9313440,18,604,190,2477,0.63,9.02,6.61,38.76
India,Rajasthan,"Calendar Year (Jan - Dec), 2022","May, 2022",10419805,3666,51317,82888,1680739,126.7,1082.77,2876.65,34689.17
India,Sikkim,"Calendar Year (Jan - Dec), 2022","May, 2022",94272,0,8,60,364,0,0.18,2.05,7.56
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022","May, 2022",11519126,4215,75001,13100,123249,137.6,1132.81,435.56,1913.81
India,Telangana,"Calendar Year (Jan - Dec), 2022","May, 2022",5388092,21932,232151,90853,1030580,0,0,0,19301.09
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2022","May, 2022",60132,409,2966,90,1641,0,0.08,2.98,35.28
India,Tripura,"Calendar Year (Jan - Dec), 2022","May, 2022",595906,460,2699,3931,24417,15.65,46.26,134.47,481.39
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022","May, 2022",36154484,12750,214571,75419,1275493,446.13,4413.58,2639.44,27058.17
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022","May, 2022",1411881,0,0,0,0,0,0,0,0
India,West Bengal,"Calendar Year (Jan - Dec), 2022","May, 2022",55212138,1360,15317,40936,353074,47.03,216.49,1420.95,6758.5
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2022","April, 2022",16795,11,54,94,729,0.35,0.84,3.24,12.54
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022","April, 2022",8937079,9940,88435,155119,1599910,3003.31,13723.81,2705.49,12463.14
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022","April, 2022",180487,0,0,0,0,0,0,0,0
India,Assam,"Calendar Year (Jan - Dec), 2022","April, 2022",5888283,14,148,5656,40021,0.49,3.05,197.39,862.35
India,Bihar,"Calendar Year (Jan - Dec), 2022","April, 2022",18271836,17674,138002,622005,5222711,611.75,3161.02,21630.86,117452.23
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022","April, 2022",5136721,727,4965,10765,69277,0,0,1054.93,4864.57
India,Delhi,"Calendar Year (Jan - Dec), 2022","April, 2022",1781035,16997,29582,9943,442860,62.15,931.01,344.94,9026.3
India,Goa,"Calendar Year (Jan - Dec), 2022","April, 2022",143053,1,34,13,329,0.04,0.53,0.46,6.32
India,Gujarat,"Calendar Year (Jan - Dec), 2022","April, 2022",7386262,1911,19297,5106,60411,64.36,439.41,170.69,1338.68
India,Haryana,"Calendar Year (Jan - Dec), 2022","April, 2022",2700279,2054,10788,85238,988420,71.54,236.39,1485.74,11476.77
